step,cut_edges,min_pop,max_pop,pop_range
1,613,41228.0,92063.0,50835.0
2,610,41228.0,92063.0,50835.0
3,614,41228.0,92063.0,50835.0
4,612,41228.0,92730.0,51502.0
5,608,41228.0,92730.0,51502.0
6,605,41228.0,92730.0,51502.0
7,616,41228.0,92730.0,51502.0
8,618,41228.0,92730.0,51502.0
9,616,41228.0,92730.0,51502.0
10,618,41228.0,92730.0,51502.0
11,619,41228.0,92730.0,51502.0
12,624,41228.0,92730.0,51502.0
13,620,41228.0,92730.0,51502.0
14,622,41228.0,92730.0,51502.0
15,616,41228.0,92730.0,51502.0
16,616,41228.0,92730.0,51502.0
17,614,41228.0,92730.0,51502.0
18,608,41228.0,92730.0,51502.0
19,609,41228.0,92730.0,51502.0
20,609,41228.0,92730.0,51502.0
21,602,41228.0,90237.0,49009.0
22,604,43088.0,90237.0,47149.0
23,604,43088.0,90071.0,46983.0
24,602,43088.0,90071.0,46983.0
25,601,43088.0,90071.0,46983.0
26,601,43088.0,90071.0,46983.0
27,604,43088.0,90071.0,46983.0
28,598,43088.0,90071.0,46983.0
29,601,43088.0,91749.0,48661.0
30,599,43088.0,91749.0,48661.0
31,598,43088.0,91749.0,48661.0
32,598,43088.0,91749.0,48661.0
33,593,44931.0,91749.0,46818.0
34,592,44931.0,91749.0,46818.0
35,592,44931.0,91749.0,46818.0
36,589,44931.0,91749.0,46818.0
37,589,44931.0,91749.0,46818.0
38,588,44931.0,91749.0,46818.0
39,588,44931.0,91749.0,46818.0
40,584,44931.0,91749.0,46818.0
41,586,41294.0,92719.0,51425.0
42,586,41294.0,92719.0,51425.0
43,581,39936.0,92866.0,52930.0
44,576,39936.0,92866.0,52930.0
45,575,39936.0,92866.0,52930.0
46,577,39936.0,92866.0,52930.0
47,583,39936.0,92866.0,52930.0
48,579,39936.0,92866.0,52930.0
49,580,39936.0,92866.0,52930.0
50,580,39936.0,92866.0,52930.0
51,588,39936.0,92866.0,52930.0
52,591,39936.0,92866.0,52930.0
53,592,39936.0,92866.0,52930.0
54,589,39936.0,92866.0,52930.0
55,588,39936.0,92866.0,52930.0
56,587,39936.0,92866.0,52930.0
57,584,39936.0,92866.0,52930.0
58,587,39936.0,92866.0,52930.0
59,582,39936.0,92866.0,52930.0
60,582,39936.0,92866.0,52930.0
61,580,39936.0,92866.0,52930.0
62,580,39936.0,92866.0,52930.0
63,581,39936.0,92866.0,52930.0
64,577,39936.0,92866.0,52930.0
65,577,39936.0,92866.0,52930.0
66,577,39936.0,92866.0,52930.0
67,576,39936.0,92866.0,52930.0
68,575,39936.0,92866.0,52930.0
69,578,39936.0,92866.0,52930.0
70,572,39936.0,92866.0,52930.0
71,573,39936.0,92866.0,52930.0
72,567,39936.0,92866.0,52930.0
73,566,39936.0,92866.0,52930.0
74,566,39936.0,92866.0,52930.0
75,567,39936.0,92866.0,52930.0
76,567,39936.0,92866.0,52930.0
77,568,39936.0,92866.0,52930.0
78,567,39936.0,92866.0,52930.0
79,567,39936.0,92866.0,52930.0
80,566,39936.0,92866.0,52930.0
81,573,39936.0,92866.0,52930.0
82,569,39936.0,88391.0,48455.0
83,572,39936.0,90630.0,50694.0
84,568,39936.0,90630.0,50694.0
85,570,39936.0,90630.0,50694.0
86,569,39936.0,90781.0,50845.0
87,570,39936.0,90781.0,50845.0
88,570,39936.0,92553.0,52617.0
89,568,39936.0,92553.0,52617.0
90,569,39936.0,92553.0,52617.0
91,569,39936.0,91773.0,51837.0
