step,cut_edges,min_pop,max_pop,pop_range
1,596,40733.0,88045.0,47312.0
2,594,40733.0,88045.0,47312.0
3,591,40733.0,88045.0,47312.0
4,595,40733.0,92916.0,52183.0
5,595,40733.0,92916.0,52183.0
6,596,40733.0,92916.0,52183.0
7,596,40733.0,92916.0,52183.0
8,594,40733.0,92916.0,52183.0
9,591,40733.0,92916.0,52183.0
10,592,40733.0,92916.0,52183.0
11,591,40733.0,93112.0,52379.0
12,595,40733.0,93112.0,52379.0
13,593,40733.0,93112.0,52379.0
14,593,40733.0,93112.0,52379.0
15,590,40733.0,93112.0,52379.0
16,589,43337.0,93112.0,49775.0
17,587,43337.0,93112.0,49775.0
18,587,43337.0,93112.0,49775.0
19,585,43337.0,93112.0,49775.0
20,589,43337.0,93112.0,49775.0
21,590,43337.0,93112.0,49775.0
22,591,43337.0,93112.0,49775.0
23,585,43337.0,93112.0,49775.0
24,585,43337.0,93112.0,49775.0
25,589,43337.0,93112.0,49775.0
26,580,43337.0,93112.0,49775.0
27,580,43337.0,93112.0,49775.0
28,581,43337.0,93112.0,49775.0
29,581,43337.0,93112.0,49775.0
30,579,43337.0,93112.0,49775.0
31,580,43337.0,93112.0,49775.0
32,586,43337.0,93112.0,49775.0
33,585,42109.0,93112.0,51003.0
34,585,42109.0,93112.0,51003.0
35,577,42109.0,93112.0,51003.0
36,574,42109.0,93112.0,51003.0
37,572,40185.0,93112.0,52927.0
38,574,40185.0,93112.0,52927.0
39,583,40185.0,93112.0,52927.0
40,586,40185.0,93112.0,52927.0
41,588,40185.0,93112.0,52927.0
42,588,40185.0,93112.0,52927.0
43,590,40185.0,93112.0,52927.0
44,589,40185.0,93112.0,52927.0
45,590,40185.0,93112.0,52927.0
46,591,40185.0,93112.0,52927.0
47,593,40316.0,93112.0,52796.0
48,593,40316.0,93112.0,52796.0
49,591,40316.0,93112.0,52796.0
50,598,40434.0,93112.0,52678.0
51,599,40434.0,93112.0,52678.0
52,598,40434.0,93112.0,52678.0
53,596,40434.0,93112.0,52678.0
54,595,40434.0,93112.0,52678.0
55,601,40434.0,93112.0,52678.0
56,602,40434.0,93112.0,52678.0
57,596,40434.0,93112.0,52678.0
58,594,40434.0,93112.0,52678.0
59,596,40434.0,93112.0,52678.0
60,596,40434.0,93112.0,52678.0
61,595,40434.0,93112.0,52678.0
62,591,42398.0,93112.0,50714.0
63,592,42398.0,93112.0,50714.0
64,593,43337.0,93112.0,49775.0
65,594,43337.0,93112.0,49775.0
66,593,43337.0,93112.0,49775.0
67,590,43337.0,93112.0,49775.0
68,590,43337.0,93112.0,49775.0
69,592,41295.0,93112.0,51817.0
70,590,41295.0,93112.0,51817.0
71,577,41295.0,93112.0,51817.0
72,576,41295.0,93112.0,51817.0
73,574,41295.0,93112.0,51817.0
74,570,41295.0,93112.0,51817.0
75,570,41295.0,93112.0,51817.0
76,568,41295.0,93112.0,51817.0
77,566,41295.0,93112.0,51817.0
78,565,42544.0,93112.0,50568.0
79,567,42544.0,93112.0,50568.0
80,570,42544.0,93112.0,50568.0
81,571,44241.0,93112.0,48871.0
