step,cut_edges,min_pop,max_pop,pop_range
1,619,41203.0,92300.0,51097.0
2,620,41203.0,92300.0,51097.0
3,625,41203.0,92300.0,51097.0
4,625,41203.0,92300.0,51097.0
5,626,41203.0,92300.0,51097.0
6,626,41203.0,92300.0,51097.0
7,624,41203.0,92300.0,51097.0
8,625,41203.0,92300.0,51097.0
9,625,41203.0,92300.0,51097.0
10,624,41203.0,92333.0,51130.0
11,619,41203.0,92333.0,51130.0
12,616,41203.0,92333.0,51130.0
13,611,41203.0,92333.0,51130.0
14,617,41203.0,92449.0,51246.0
15,618,41203.0,92449.0,51246.0
16,614,41203.0,92449.0,51246.0
17,609,41203.0,92449.0,51246.0
18,610,41203.0,92449.0,51246.0
19,610,41203.0,92449.0,51246.0
20,612,41203.0,92449.0,51246.0
21,607,41203.0,92300.0,51097.0
22,597,41203.0,92300.0,51097.0
23,594,41203.0,92300.0,51097.0
24,595,41203.0,91818.0,50615.0
25,594,41203.0,91818.0,50615.0
26,596,41203.0,90263.0,49060.0
27,591,41203.0,90263.0,49060.0
28,592,41203.0,90263.0,49060.0
29,593,41203.0,90263.0,49060.0
30,590,41203.0,90263.0,49060.0
31,585,41203.0,90263.0,49060.0
32,588,41203.0,90263.0,49060.0
33,583,41203.0,90263.0,49060.0
34,586,41203.0,90263.0,49060.0
35,590,41203.0,90263.0,49060.0
36,595,41203.0,90263.0,49060.0
37,599,41203.0,90263.0,49060.0
38,599,41203.0,92558.0,51355.0
39,600,41203.0,92558.0,51355.0
40,598,41203.0,92558.0,51355.0
41,598,41203.0,92558.0,51355.0
42,595,41203.0,90151.0,48948.0
43,593,43418.0,90151.0,46733.0
44,591,45204.0,90151.0,44947.0
45,593,45204.0,90151.0,44947.0
46,592,45204.0,90151.0,44947.0
47,595,43980.0,90663.0,46683.0
48,595,43980.0,90663.0,46683.0
49,598,40832.0,90663.0,49831.0
50,598,40832.0,90663.0,49831.0
51,598,40832.0,90663.0,49831.0
52,598,40832.0,90663.0,49831.0
53,598,40832.0,90663.0,49831.0
54,593,40832.0,91767.0,50935.0
55,594,40832.0,91767.0,50935.0
56,593,40832.0,91767.0,50935.0
57,600,40832.0,91767.0,50935.0
58,597,40832.0,91767.0,50935.0
59,594,43980.0,91767.0,47787.0
60,596,43980.0,90663.0,46683.0
61,599,43980.0,91368.0,47388.0
62,597,43980.0,91368.0,47388.0
63,599,41102.0,91368.0,50266.0
64,604,41102.0,91701.0,50599.0
65,606,41102.0,91701.0,50599.0
66,604,40460.0,91701.0,51241.0
67,608,40460.0,91701.0,51241.0
68,604,40460.0,91701.0,51241.0
69,606,40460.0,92463.0,52003.0
70,606,40460.0,93029.0,52569.0
71,608,40460.0,93029.0,52569.0
72,611,40158.0,93029.0,52871.0
73,614,40158.0,93029.0,52871.0
74,612,40158.0,93029.0,52871.0
75,613,40158.0,93029.0,52871.0
76,613,40158.0,93029.0,52871.0
77,613,40158.0,93029.0,52871.0
78,606,40158.0,93029.0,52871.0
79,606,40158.0,93029.0,52871.0
80,607,40158.0,93029.0,52871.0
81,612,40158.0,93029.0,52871.0
82,610,40158.0,93029.0,52871.0
83,609,40158.0,93029.0,52871.0
84,608,40158.0,91701.0,51543.0
85,609,40158.0,91701.0,51543.0
86,613,40158.0,91701.0,51543.0
87,609,40158.0,91701.0,51543.0
88,609,40158.0,91701.0,51543.0
89,608,40158.0,91701.0,51543.0
90,608,40158.0,91701.0,51543.0
91,604,40158.0,91701.0,51543.0
92,612,40158.0,91701.0,51543.0
93,610,40158.0,91701.0,51543.0
94,612,40158.0,91701.0,51543.0
95,605,40158.0,91701.0,51543.0
96,608,40158.0,90763.0,50605.0
97,608,40158.0,90763.0,50605.0
98,612,40158.0,90763.0,50605.0
99,606,40158.0,90763.0,50605.0
100,607,40158.0,90763.0,50605.0
101,611,40158.0,92143.0,51985.0
102,607,40158.0,92143.0,51985.0
103,608,40158.0,92143.0,51985.0
104,608,40158.0,92143.0,51985.0
105,608,40158.0,92143.0,51985.0
106,608,40158.0,92143.0,51985.0
107,607,40158.0,92143.0,51985.0
108,609,40040.0,92143.0,52103.0
109,605,40040.0,92143.0,52103.0
110,605,40040.0,92143.0,52103.0
111,601,40040.0,92143.0,52103.0
112,597,40040.0,92143.0,52103.0
113,597,40040.0,92143.0,52103.0
114,598,40040.0,92143.0,52103.0
115,590,40040.0,92143.0,52103.0
116,591,40040.0,92143.0,52103.0
117,592,40040.0,92143.0,52103.0
118,592,40040.0,92841.0,52801.0
119,592,40040.0,92841.0,52801.0
120,591,39988.0,92841.0,52853.0
121,588,39988.0,92841.0,52853.0
122,584,39988.0,92841.0,52853.0
123,578,39988.0,92841.0,52853.0
124,573,39988.0,92841.0,52853.0
125,568,39988.0,92841.0,52853.0
126,567,39988.0,92841.0,52853.0
127,567,39988.0,92841.0,52853.0
128,562,39988.0,92841.0,52853.0
129,563,39988.0,92841.0,52853.0
130,564,39988.0,92841.0,52853.0
131,566,39988.0,92841.0,52853.0
132,568,39988.0,92841.0,52853.0
133,569,39988.0,92841.0,52853.0
134,567,39988.0,92841.0,52853.0
135,571,39988.0,92841.0,52853.0
136,571,39988.0,92841.0,52853.0
137,574,39988.0,92841.0,52853.0
138,576,39988.0,92841.0,52853.0
139,575,39988.0,92841.0,52853.0
140,573,39988.0,92841.0,52853.0
141,576,39988.0,92841.0,52853.0
142,569,39988.0,92841.0,52853.0
143,569,39988.0,92104.0,52116.0
144,569,39988.0,92104.0,52116.0
145,569,39988.0,92104.0,52116.0
146,565,39988.0,92319.0,52331.0
147,565,39988.0,92319.0,52331.0
148,565,39988.0,92319.0,52331.0
149,563,39988.0,92319.0,52331.0
150,563,39988.0,92319.0,52331.0
151,562,39988.0,92319.0,52331.0
152,567,39988.0,92319.0,52331.0
153,570,39988.0,92319.0,52331.0
154,570,39988.0,92319.0,52331.0
155,574,39988.0,92319.0,52331.0
156,569,39988.0,92319.0,52331.0
157,569,39988.0,92104.0,52116.0
158,565,39988.0,92730.0,52742.0
159,564,39988.0,92730.0,52742.0
160,571,39988.0,92730.0,52742.0
161,571,39988.0,92827.0,52839.0
162,574,39988.0,92827.0,52839.0
163,580,39988.0,92827.0,52839.0
164,581,39988.0,92827.0,52839.0
165,577,39988.0,92827.0,52839.0
166,577,39988.0,92827.0,52839.0
167,578,39988.0,92827.0,52839.0
168,577,39988.0,92226.0,52238.0
169,578,39988.0,92226.0,52238.0
170,577,39988.0,92226.0,52238.0
171,575,39988.0,92226.0,52238.0
172,575,39988.0,92226.0,52238.0
173,578,39988.0,92226.0,52238.0
174,569,39988.0,92226.0,52238.0
175,572,39988.0,92226.0,52238.0
176,574,39988.0,92226.0,52238.0
177,578,39988.0,92226.0,52238.0
178,577,39988.0,92226.0,52238.0
179,575,39988.0,92226.0,52238.0
180,577,39988.0,92226.0,52238.0
181,578,39988.0,91354.0,51366.0
182,587,39988.0,91354.0,51366.0
183,586,39988.0,91354.0,51366.0
184,587,39988.0,91354.0,51366.0
185,586,39988.0,91354.0,51366.0
186,585,39988.0,91354.0,51366.0
187,584,39988.0,91354.0,51366.0
188,581,39988.0,91354.0,51366.0
189,573,39988.0,91354.0,51366.0
190,574,39988.0,91354.0,51366.0
191,579,39988.0,91354.0,51366.0
192,579,39988.0,91354.0,51366.0
193,579,39988.0,91354.0,51366.0
194,582,39988.0,91354.0,51366.0
195,583,39988.0,91354.0,51366.0
196,584,39988.0,91354.0,51366.0
197,590,39988.0,91354.0,51366.0
198,592,39988.0,91354.0,51366.0
199,594,39988.0,91354.0,51366.0
200,593,39988.0,92920.0,52932.0
201,591,39988.0,92920.0,52932.0
202,590,39988.0,92920.0,52932.0
203,592,39988.0,92920.0,52932.0
