step,cut_edges,min_pop,max_pop,pop_range
1,597,43613.0,92250.0,48637.0
2,597,43613.0,92250.0,48637.0
3,587,43613.0,92250.0,48637.0
4,585,43613.0,91823.0,48210.0
5,585,42262.0,91823.0,49561.0
6,585,42262.0,91823.0,49561.0
7,579,42262.0,91823.0,49561.0
8,578,40183.0,91823.0,51640.0
9,577,40183.0,91823.0,51640.0
10,574,40183.0,91113.0,50930.0
11,574,40183.0,91113.0,50930.0
12,570,40183.0,91113.0,50930.0
13,572,40183.0,91113.0,50930.0
14,573,40183.0,91113.0,50930.0
15,575,40183.0,91113.0,50930.0
16,575,40183.0,91113.0,50930.0
17,575,40183.0,91113.0,50930.0
18,574,40183.0,91113.0,50930.0
19,575,40183.0,91113.0,50930.0
20,583,40183.0,91113.0,50930.0
21,584,40183.0,91113.0,50930.0
22,581,40183.0,91113.0,50930.0
23,576,40183.0,91113.0,50930.0
24,575,40183.0,91113.0,50930.0
25,575,40183.0,91113.0,50930.0
26,577,40183.0,91113.0,50930.0
27,578,40183.0,91113.0,50930.0
28,577,40183.0,91113.0,50930.0
29,576,40183.0,91113.0,50930.0
30,576,40183.0,91113.0,50930.0
31,577,40183.0,91113.0,50930.0
32,577,40183.0,91113.0,50930.0
33,581,40183.0,91113.0,50930.0
34,581,40183.0,91113.0,50930.0
35,576,40183.0,91113.0,50930.0
36,581,40183.0,91113.0,50930.0
37,580,40183.0,91113.0,50930.0
38,582,40183.0,92732.0,52549.0
39,581,40183.0,92732.0,52549.0
40,582,40183.0,92732.0,52549.0
41,583,40183.0,92732.0,52549.0
42,583,40183.0,92732.0,52549.0
43,589,40183.0,92732.0,52549.0
44,588,40183.0,92732.0,52549.0
45,582,40183.0,92732.0,52549.0
46,580,40183.0,92732.0,52549.0
47,583,40183.0,92732.0,52549.0
48,579,40183.0,92732.0,52549.0
49,581,40183.0,92732.0,52549.0
50,581,40183.0,92732.0,52549.0
51,575,40183.0,92732.0,52549.0
52,571,40183.0,92732.0,52549.0
53,562,40183.0,92732.0,52549.0
54,562,40183.0,92732.0,52549.0
55,562,40183.0,92732.0,52549.0
56,569,40183.0,92732.0,52549.0
57,574,40183.0,92732.0,52549.0
58,574,40183.0,92732.0,52549.0
59,574,40831.0,92732.0,51901.0
60,575,40831.0,92732.0,51901.0
61,571,40831.0,92500.0,51669.0
62,572,40831.0,92500.0,51669.0
63,574,40831.0,92500.0,51669.0
64,574,40831.0,92500.0,51669.0
65,574,40831.0,92500.0,51669.0
66,576,40831.0,92500.0,51669.0
67,572,40831.0,92500.0,51669.0
68,569,40831.0,92500.0,51669.0
