step,cut_edges,min_pop,max_pop,pop_range
1,596,40193.0,92665.0,52472.0
2,599,40193.0,92665.0,52472.0
3,599,40193.0,91014.0,50821.0
4,601,40193.0,91014.0,50821.0
5,598,40193.0,91014.0,50821.0
6,594,40193.0,91014.0,50821.0
7,594,40193.0,91014.0,50821.0
8,599,40193.0,91014.0,50821.0
9,598,40193.0,91014.0,50821.0
10,591,40193.0,91014.0,50821.0
11,580,40193.0,91014.0,50821.0
12,586,40193.0,91014.0,50821.0
13,587,40193.0,91014.0,50821.0
14,582,40193.0,91014.0,50821.0
15,581,40193.0,91014.0,50821.0
16,583,40193.0,91014.0,50821.0
17,583,40193.0,91014.0,50821.0
18,584,40193.0,91014.0,50821.0
19,585,40193.0,91014.0,50821.0
20,589,40193.0,91014.0,50821.0
21,588,40193.0,91014.0,50821.0
22,585,40193.0,91014.0,50821.0
23,585,40193.0,91014.0,50821.0
24,584,40193.0,91014.0,50821.0
25,586,40193.0,91014.0,50821.0
26,589,40193.0,91014.0,50821.0
27,589,40193.0,91014.0,50821.0
28,591,40193.0,92986.0,52793.0
29,590,40193.0,92986.0,52793.0
30,586,40193.0,92986.0,52793.0
31,586,40193.0,92986.0,52793.0
32,579,40483.0,92986.0,52503.0
33,578,40483.0,92986.0,52503.0
34,578,40483.0,92986.0,52503.0
35,583,40483.0,92986.0,52503.0
36,574,40483.0,90707.0,50224.0
37,576,40483.0,90707.0,50224.0
38,576,40483.0,90707.0,50224.0
39,576,40483.0,90707.0,50224.0
40,570,40483.0,90707.0,50224.0
41,570,40483.0,90707.0,50224.0
42,568,40483.0,90707.0,50224.0
43,565,40483.0,90707.0,50224.0
44,567,40483.0,90707.0,50224.0
45,567,40483.0,90707.0,50224.0
46,569,40483.0,90707.0,50224.0
47,569,40483.0,90707.0,50224.0
48,567,40483.0,90707.0,50224.0
49,569,40483.0,90707.0,50224.0
50,572,40483.0,90707.0,50224.0
51,574,40483.0,90707.0,50224.0
52,573,40483.0,90707.0,50224.0
53,584,40483.0,90799.0,50316.0
54,594,40483.0,90799.0,50316.0
55,594,40483.0,90799.0,50316.0
56,596,40281.0,90799.0,50518.0
57,596,40281.0,91190.0,50909.0
58,588,40281.0,91190.0,50909.0
59,585,40281.0,91190.0,50909.0
60,584,40281.0,91839.0,51558.0
61,581,40281.0,91839.0,51558.0
62,583,40281.0,91839.0,51558.0
63,585,40281.0,91839.0,51558.0
64,587,40281.0,91839.0,51558.0
65,593,40281.0,91839.0,51558.0
66,596,40483.0,91839.0,51356.0
67,597,40483.0,91839.0,51356.0
68,596,42443.0,91839.0,49396.0
69,592,42443.0,90823.0,48380.0
70,594,44282.0,90823.0,46541.0
71,591,44282.0,90823.0,46541.0
72,592,46130.0,90823.0,44693.0
73,590,46130.0,90823.0,44693.0
74,590,46130.0,90823.0,44693.0
75,590,46130.0,90823.0,44693.0
76,591,46130.0,90823.0,44693.0
77,591,43691.0,91416.0,47725.0
78,593,43691.0,91416.0,47725.0
79,591,43691.0,91416.0,47725.0
80,592,43691.0,91416.0,47725.0
81,591,43691.0,90823.0,47132.0
82,588,43691.0,90823.0,47132.0
83,588,43691.0,90823.0,47132.0
84,588,43691.0,90823.0,47132.0
85,590,43691.0,90823.0,47132.0
86,589,43691.0,90823.0,47132.0
87,592,46130.0,90823.0,44693.0
88,588,46130.0,90823.0,44693.0
89,586,46130.0,90823.0,44693.0
90,583,46130.0,90823.0,44693.0
91,579,46130.0,90823.0,44693.0
92,578,46130.0,90823.0,44693.0
93,578,46130.0,90823.0,44693.0
94,578,46130.0,90823.0,44693.0
95,578,46130.0,90823.0,44693.0
96,578,46130.0,89476.0,43346.0
97,577,46130.0,90618.0,44488.0
98,579,46130.0,90618.0,44488.0
99,570,46130.0,90618.0,44488.0
100,570,42383.0,90618.0,48235.0
101,572,42383.0,90618.0,48235.0
102,571,42383.0,90618.0,48235.0
103,571,42383.0,90618.0,48235.0
104,569,42383.0,92821.0,50438.0
105,567,42383.0,90742.0,48359.0
106,568,42383.0,90742.0,48359.0
107,568,46130.0,90742.0,44612.0
108,569,46130.0,90742.0,44612.0
109,568,46130.0,90742.0,44612.0
110,569,40380.0,90742.0,50362.0
111,566,40380.0,90742.0,50362.0
112,570,40380.0,90742.0,50362.0
113,569,40380.0,90742.0,50362.0
114,566,40380.0,90742.0,50362.0
115,569,40380.0,90742.0,50362.0
116,570,40380.0,90742.0,50362.0
117,567,40380.0,90742.0,50362.0
118,565,40380.0,90742.0,50362.0
119,567,40380.0,90742.0,50362.0
120,566,40380.0,90742.0,50362.0
121,564,40380.0,90742.0,50362.0
122,562,40380.0,90742.0,50362.0
123,560,40380.0,90618.0,50238.0
124,561,40380.0,90363.0,49983.0
125,562,40380.0,90363.0,49983.0
126,560,40380.0,90363.0,49983.0
127,557,40380.0,90363.0,49983.0
128,559,40380.0,90363.0,49983.0
129,558,40380.0,90363.0,49983.0
130,559,40380.0,88798.0,48418.0
131,558,40380.0,88798.0,48418.0
132,555,40380.0,88798.0,48418.0
133,551,40380.0,90429.0,50049.0
134,550,40380.0,88798.0,48418.0
