step,cut_edges,min_pop,max_pop,pop_range
1,627,40761.0,90196.0,49435.0
2,623,40761.0,89066.0,48305.0
3,622,40761.0,90878.0,50117.0
4,624,40761.0,90878.0,50117.0
5,615,40761.0,90878.0,50117.0
6,609,40498.0,90878.0,50380.0
7,610,40498.0,90878.0,50380.0
8,609,40498.0,90878.0,50380.0
9,611,40498.0,90878.0,50380.0
10,609,40498.0,90878.0,50380.0
11,605,40498.0,90878.0,50380.0
12,609,40498.0,90878.0,50380.0
13,605,40498.0,91160.0,50662.0
14,596,40498.0,91160.0,50662.0
15,596,40498.0,91160.0,50662.0
16,599,40498.0,91160.0,50662.0
17,595,40498.0,91160.0,50662.0
18,593,40498.0,91374.0,50876.0
19,593,40498.0,91374.0,50876.0
20,591,40498.0,91374.0,50876.0
21,590,40498.0,91374.0,50876.0
22,587,40498.0,91374.0,50876.0
23,591,40498.0,91374.0,50876.0
24,587,40498.0,91374.0,50876.0
25,585,40498.0,91374.0,50876.0
26,583,40498.0,91374.0,50876.0
27,585,40498.0,91374.0,50876.0
28,586,40498.0,92533.0,52035.0
29,578,40498.0,92533.0,52035.0
30,586,40498.0,92533.0,52035.0
31,580,40498.0,92533.0,52035.0
32,583,40498.0,92533.0,52035.0
33,576,40498.0,91374.0,50876.0
34,576,40498.0,91374.0,50876.0
35,574,40498.0,91374.0,50876.0
36,576,40498.0,91374.0,50876.0
37,576,40498.0,91374.0,50876.0
38,587,40498.0,91374.0,50876.0
39,588,40498.0,91374.0,50876.0
40,588,40498.0,91374.0,50876.0
41,588,40498.0,91374.0,50876.0
42,588,40498.0,91374.0,50876.0
43,592,40498.0,91374.0,50876.0
44,592,40498.0,91374.0,50876.0
45,595,40498.0,91374.0,50876.0
46,600,40498.0,91374.0,50876.0
47,600,40498.0,91374.0,50876.0
48,599,40498.0,91374.0,50876.0
49,600,40498.0,91374.0,50876.0
50,601,40498.0,91374.0,50876.0
51,600,40498.0,91374.0,50876.0
52,608,40498.0,91374.0,50876.0
53,605,40498.0,91374.0,50876.0
54,604,40498.0,91374.0,50876.0
55,604,40498.0,91374.0,50876.0
56,603,40498.0,91374.0,50876.0
57,599,40498.0,91374.0,50876.0
58,598,40498.0,91374.0,50876.0
59,590,40498.0,92125.0,51627.0
60,590,40498.0,92125.0,51627.0
61,589,40067.0,92125.0,52058.0
62,591,40067.0,92125.0,52058.0
63,587,40067.0,91374.0,51307.0
64,584,40067.0,91374.0,51307.0
65,579,40067.0,91374.0,51307.0
66,578,40067.0,91374.0,51307.0
67,577,40067.0,91374.0,51307.0
68,575,40067.0,91374.0,51307.0
69,574,40067.0,91374.0,51307.0
70,572,40067.0,91374.0,51307.0
71,574,40067.0,91374.0,51307.0
72,575,40067.0,91374.0,51307.0
73,575,40067.0,91374.0,51307.0
74,576,40067.0,91831.0,51764.0
75,576,40067.0,91831.0,51764.0
76,573,40067.0,91831.0,51764.0
77,571,40067.0,91831.0,51764.0
78,571,40067.0,91831.0,51764.0
79,574,40067.0,91831.0,51764.0
80,573,40067.0,91831.0,51764.0
81,574,40067.0,91831.0,51764.0
82,576,40498.0,91831.0,51333.0
83,580,40498.0,91831.0,51333.0
84,582,40178.0,91831.0,51653.0
85,583,40178.0,91831.0,51653.0
86,583,40178.0,91831.0,51653.0
87,587,40178.0,91831.0,51653.0
88,587,40178.0,91831.0,51653.0
89,585,40498.0,91831.0,51333.0
90,585,40498.0,91831.0,51333.0
91,585,40578.0,91831.0,51253.0
92,589,40578.0,91831.0,51253.0
93,590,40578.0,91831.0,51253.0
94,589,40578.0,91831.0,51253.0
95,588,40578.0,91831.0,51253.0
96,588,40578.0,91831.0,51253.0
97,587,40578.0,91831.0,51253.0
98,589,40578.0,91831.0,51253.0
99,589,40578.0,91831.0,51253.0
100,600,40578.0,91831.0,51253.0
101,598,40578.0,91374.0,50796.0
102,598,40578.0,91374.0,50796.0
103,594,40578.0,91662.0,51084.0
104,587,40578.0,91662.0,51084.0
105,588,43466.0,91662.0,48196.0
106,592,43466.0,92543.0,49077.0
107,588,43466.0,92543.0,49077.0
108,592,43466.0,92543.0,49077.0
109,591,43466.0,93056.0,49590.0
110,592,43466.0,93056.0,49590.0
111,593,43466.0,93056.0,49590.0
112,596,43466.0,93056.0,49590.0
113,596,43466.0,93056.0,49590.0
114,594,43466.0,92543.0,49077.0
115,594,42405.0,92543.0,50138.0
116,589,42405.0,92543.0,50138.0
117,588,43466.0,92543.0,49077.0
118,588,43466.0,92543.0,49077.0
119,584,43466.0,90878.0,47412.0
120,587,40682.0,90878.0,50196.0
121,586,40682.0,90878.0,50196.0
122,589,40682.0,90878.0,50196.0
123,585,41098.0,90878.0,49780.0
124,596,41098.0,90878.0,49780.0
