step,cut_edges,min_pop,max_pop,pop_range
1,608,41481.0,92481.0,51000.0
2,609,41481.0,92481.0,51000.0
3,612,41481.0,92481.0,51000.0
4,613,42011.0,92481.0,50470.0
5,614,42011.0,92481.0,50470.0
6,613,42011.0,92481.0,50470.0
7,607,42011.0,92481.0,50470.0
8,605,42011.0,92481.0,50470.0
9,603,42011.0,92481.0,50470.0
10,602,42011.0,92481.0,50470.0
11,599,42011.0,92193.0,50182.0
12,596,42011.0,92193.0,50182.0
13,596,42011.0,92193.0,50182.0
14,596,41377.0,92476.0,51099.0
15,597,41377.0,92476.0,51099.0
16,595,41377.0,92476.0,51099.0
17,593,41377.0,92476.0,51099.0
18,595,41377.0,92476.0,51099.0
19,595,41377.0,92476.0,51099.0
20,596,41377.0,92476.0,51099.0
21,596,41377.0,92476.0,51099.0
22,594,41377.0,92476.0,51099.0
23,595,41377.0,92476.0,51099.0
24,595,41377.0,92476.0,51099.0
25,595,41377.0,92476.0,51099.0
26,596,41377.0,92476.0,51099.0
27,596,41377.0,92476.0,51099.0
28,594,41377.0,91120.0,49743.0
29,589,41377.0,91120.0,49743.0
30,594,41377.0,91120.0,49743.0
31,588,41377.0,91120.0,49743.0
32,588,41377.0,91120.0,49743.0
33,588,41377.0,91120.0,49743.0
34,584,41377.0,91120.0,49743.0
35,584,41377.0,91120.0,49743.0
36,581,41086.0,91120.0,50034.0
37,583,41086.0,91120.0,50034.0
38,584,41086.0,91120.0,50034.0
39,589,41086.0,91120.0,50034.0
40,588,41086.0,91120.0,50034.0
41,587,41086.0,91120.0,50034.0
42,588,41086.0,91120.0,50034.0
43,586,39964.0,91120.0,51156.0
44,580,39964.0,92781.0,52817.0
45,579,39964.0,92781.0,52817.0
46,578,39964.0,92781.0,52817.0
47,580,39964.0,92781.0,52817.0
48,580,39964.0,92781.0,52817.0
49,579,39964.0,92781.0,52817.0
50,579,39964.0,92440.0,52476.0
51,581,39964.0,92440.0,52476.0
52,583,39964.0,91388.0,51424.0
53,581,39964.0,91388.0,51424.0
54,580,39964.0,91388.0,51424.0
55,578,39964.0,91388.0,51424.0
56,581,39964.0,91388.0,51424.0
57,582,39964.0,91388.0,51424.0
58,583,39964.0,91120.0,51156.0
59,584,39964.0,91120.0,51156.0
60,582,39964.0,92193.0,52229.0
61,582,39964.0,92193.0,52229.0
62,582,39964.0,92193.0,52229.0
63,575,39964.0,92193.0,52229.0
64,576,39964.0,92193.0,52229.0
65,576,39964.0,92193.0,52229.0
66,575,40674.0,92193.0,51519.0
67,575,40674.0,92193.0,51519.0
68,576,40674.0,92193.0,51519.0
69,575,40674.0,92193.0,51519.0
70,575,40674.0,92193.0,51519.0
71,573,40674.0,92193.0,51519.0
72,568,40674.0,92193.0,51519.0
73,566,40674.0,92193.0,51519.0
74,566,40674.0,92193.0,51519.0
75,567,40674.0,92193.0,51519.0
76,562,40674.0,92193.0,51519.0
77,568,40674.0,92193.0,51519.0
78,566,40674.0,92193.0,51519.0
79,564,40674.0,92193.0,51519.0
80,564,40674.0,92193.0,51519.0
81,566,40674.0,92193.0,51519.0
82,565,40674.0,92193.0,51519.0
83,565,40674.0,92193.0,51519.0
84,566,40674.0,92193.0,51519.0
85,569,40674.0,92991.0,52317.0
86,571,40674.0,92991.0,52317.0
87,567,40674.0,92991.0,52317.0
88,564,40674.0,92991.0,52317.0
89,565,40674.0,92991.0,52317.0
90,562,40674.0,92991.0,52317.0
91,567,40674.0,92991.0,52317.0
92,567,42011.0,92991.0,50980.0
93,568,42011.0,92991.0,50980.0
94,568,42011.0,88946.0,46935.0
95,565,42011.0,88946.0,46935.0
96,565,42011.0,88946.0,46935.0
97,568,42011.0,87497.0,45486.0
98,569,42011.0,88058.0,46047.0
99,571,42011.0,88058.0,46047.0
100,568,42011.0,92772.0,50761.0
101,563,42011.0,92772.0,50761.0
102,566,42011.0,92882.0,50871.0
103,563,42011.0,92772.0,50761.0
104,564,42011.0,92772.0,50761.0
105,564,42011.0,92772.0,50761.0
106,565,42011.0,89374.0,47363.0
107,567,42011.0,89374.0,47363.0
108,561,39936.0,89374.0,49438.0
109,571,39936.0,89374.0,49438.0
110,572,39936.0,89374.0,49438.0
111,576,39936.0,89374.0,49438.0
112,578,39936.0,89374.0,49438.0
113,576,39936.0,89374.0,49438.0
114,582,39936.0,89374.0,49438.0
115,588,42011.0,89374.0,47363.0
116,587,41867.0,89374.0,47507.0
117,588,41867.0,90513.0,48646.0
118,583,41867.0,90513.0,48646.0
119,582,41867.0,90513.0,48646.0
120,579,41867.0,90513.0,48646.0
121,575,41867.0,90513.0,48646.0
122,572,41867.0,90513.0,48646.0
