step,cut_edges,min_pop,max_pop,pop_range
1,639,40182.0,93111.0,52929.0
2,639,40182.0,93111.0,52929.0
3,635,40182.0,93111.0,52929.0
4,630,40182.0,93111.0,52929.0
5,629,40182.0,93111.0,52929.0
6,627,40182.0,93111.0,52929.0
7,629,40182.0,93111.0,52929.0
8,626,40182.0,93111.0,52929.0
9,625,40182.0,93111.0,52929.0
10,628,40182.0,93111.0,52929.0
11,628,40182.0,93111.0,52929.0
12,619,40182.0,93111.0,52929.0
13,615,40499.0,93111.0,52612.0
14,615,40499.0,93111.0,52612.0
15,612,40499.0,93111.0,52612.0
16,611,40499.0,93111.0,52612.0
17,613,40499.0,93111.0,52612.0
18,606,40499.0,93111.0,52612.0
19,606,40499.0,93111.0,52612.0
20,610,40499.0,93111.0,52612.0
21,610,40499.0,91677.0,51178.0
22,614,40499.0,91677.0,51178.0
23,616,40499.0,92292.0,51793.0
24,619,40499.0,92292.0,51793.0
25,614,40499.0,91550.0,51051.0
26,613,40499.0,91550.0,51051.0
27,615,40499.0,91550.0,51051.0
28,615,40499.0,91550.0,51051.0
29,604,40499.0,91550.0,51051.0
30,605,40499.0,91550.0,51051.0
31,601,40499.0,91550.0,51051.0
32,600,40499.0,92704.0,52205.0
33,599,40499.0,92704.0,52205.0
34,599,40499.0,92704.0,52205.0
35,598,40499.0,92704.0,52205.0
36,598,40499.0,92704.0,52205.0
37,596,40499.0,92704.0,52205.0
38,597,40499.0,92704.0,52205.0
39,598,40499.0,92704.0,52205.0
40,601,40499.0,92704.0,52205.0
41,602,40499.0,92704.0,52205.0
42,604,40499.0,92704.0,52205.0
43,601,40499.0,92704.0,52205.0
44,600,40499.0,92704.0,52205.0
45,604,40499.0,92704.0,52205.0
46,604,40229.0,92704.0,52475.0
47,606,40229.0,92704.0,52475.0
48,607,40499.0,92704.0,52205.0
49,609,40499.0,92704.0,52205.0
50,609,40499.0,92704.0,52205.0
51,602,40499.0,92704.0,52205.0
52,603,40499.0,92704.0,52205.0
53,605,40499.0,92704.0,52205.0
54,612,40499.0,92704.0,52205.0
55,613,40499.0,92704.0,52205.0
56,614,40499.0,92704.0,52205.0
57,613,40499.0,92704.0,52205.0
58,613,40499.0,92704.0,52205.0
59,604,40499.0,92704.0,52205.0
60,603,42522.0,92016.0,49494.0
61,601,42522.0,92016.0,49494.0
62,602,42522.0,92016.0,49494.0
63,600,42522.0,92016.0,49494.0
64,598,42522.0,92016.0,49494.0
65,599,42522.0,92016.0,49494.0
66,597,42522.0,91343.0,48821.0
67,596,42522.0,91343.0,48821.0
68,603,42522.0,91343.0,48821.0
69,604,42522.0,91343.0,48821.0
70,608,42522.0,91343.0,48821.0
71,608,42522.0,91343.0,48821.0
72,608,42522.0,91343.0,48821.0
73,605,41591.0,91343.0,49752.0
74,606,41591.0,90638.0,49047.0
75,602,41591.0,90638.0,49047.0
76,601,41591.0,90638.0,49047.0
77,604,41591.0,90638.0,49047.0
78,605,41591.0,90729.0,49138.0
79,605,41591.0,90729.0,49138.0
80,606,41591.0,90729.0,49138.0
81,603,41591.0,90638.0,49047.0
82,596,41591.0,90638.0,49047.0
83,594,41591.0,90638.0,49047.0
84,589,41591.0,90638.0,49047.0
85,589,41591.0,91275.0,49684.0
86,591,41591.0,91275.0,49684.0
87,593,41591.0,91275.0,49684.0
88,594,41591.0,91275.0,49684.0
89,597,41591.0,91275.0,49684.0
90,601,41591.0,91275.0,49684.0
91,608,41591.0,91275.0,49684.0
92,609,41591.0,91275.0,49684.0
93,604,41591.0,90808.0,49217.0
94,604,41591.0,90808.0,49217.0
95,600,41591.0,90808.0,49217.0
96,601,41591.0,90808.0,49217.0
97,602,41186.0,90808.0,49622.0
98,604,41186.0,90808.0,49622.0
99,604,41186.0,90808.0,49622.0
100,604,41186.0,90808.0,49622.0
101,607,41186.0,90808.0,49622.0
102,608,41186.0,90808.0,49622.0
103,607,41186.0,90808.0,49622.0
104,606,41186.0,90808.0,49622.0
105,606,41186.0,90808.0,49622.0
106,604,41186.0,90808.0,49622.0
107,605,41186.0,90808.0,49622.0
108,608,41186.0,90808.0,49622.0
109,614,40186.0,90808.0,50622.0
110,614,40186.0,90808.0,50622.0
111,615,40186.0,90808.0,50622.0
112,615,40186.0,90808.0,50622.0
113,619,40186.0,90808.0,50622.0
114,619,40186.0,90808.0,50622.0
115,619,40186.0,90808.0,50622.0
116,618,40186.0,90808.0,50622.0
117,617,40186.0,90808.0,50622.0
118,622,40186.0,90808.0,50622.0
119,625,40186.0,92357.0,52171.0
120,626,40186.0,92357.0,52171.0
121,625,40186.0,92357.0,52171.0
122,625,40186.0,92357.0,52171.0
123,625,40186.0,92357.0,52171.0
124,625,40186.0,92357.0,52171.0
125,627,40186.0,92357.0,52171.0
126,631,40186.0,92357.0,52171.0
127,632,40186.0,92357.0,52171.0
128,623,40186.0,92357.0,52171.0
129,624,40186.0,92357.0,52171.0
130,618,40186.0,92357.0,52171.0
131,618,40186.0,92357.0,52171.0
132,617,40186.0,92357.0,52171.0
133,611,40186.0,92357.0,52171.0
134,611,40186.0,92357.0,52171.0
135,610,40186.0,92357.0,52171.0
136,609,40186.0,92357.0,52171.0
137,610,40186.0,92357.0,52171.0
138,608,40186.0,92357.0,52171.0
139,609,40186.0,92394.0,52208.0
140,609,40186.0,92394.0,52208.0
141,606,40186.0,92394.0,52208.0
142,608,40186.0,92394.0,52208.0
143,611,40186.0,92394.0,52208.0
144,619,40186.0,92674.0,52488.0
145,619,40186.0,92394.0,52208.0
146,614,40186.0,92394.0,52208.0
147,615,40186.0,92394.0,52208.0
148,619,40186.0,92394.0,52208.0
149,619,40186.0,92893.0,52707.0
