step,cut_edges,min_pop,max_pop,pop_range
1,616,39989.0,92266.0,52277.0
2,614,39989.0,92266.0,52277.0
3,615,39989.0,92266.0,52277.0
4,616,39989.0,92266.0,52277.0
5,617,39989.0,92266.0,52277.0
6,619,39989.0,92266.0,52277.0
7,618,39989.0,92266.0,52277.0
8,623,39989.0,92266.0,52277.0
9,611,39989.0,92266.0,52277.0
10,611,39989.0,92266.0,52277.0
11,606,39989.0,92266.0,52277.0
12,606,39989.0,92954.0,52965.0
13,609,39989.0,92954.0,52965.0
14,605,39989.0,92954.0,52965.0
15,604,39989.0,92954.0,52965.0
16,600,39989.0,92954.0,52965.0
17,596,39989.0,92954.0,52965.0
18,600,39989.0,92954.0,52965.0
19,598,39989.0,92954.0,52965.0
20,598,39989.0,92954.0,52965.0
21,597,39989.0,92954.0,52965.0
22,602,39989.0,92954.0,52965.0
23,589,39989.0,92954.0,52965.0
24,588,39989.0,92954.0,52965.0
25,588,39989.0,92954.0,52965.0
26,584,39989.0,92954.0,52965.0
27,586,39989.0,92954.0,52965.0
28,580,39989.0,92954.0,52965.0
29,579,39989.0,92954.0,52965.0
30,579,39989.0,92954.0,52965.0
31,584,39989.0,92954.0,52965.0
32,589,39989.0,92954.0,52965.0
33,590,39989.0,92954.0,52965.0
34,590,39989.0,92954.0,52965.0
35,590,39989.0,92954.0,52965.0
36,589,39989.0,92954.0,52965.0
37,590,39989.0,92954.0,52965.0
38,589,39989.0,92954.0,52965.0
39,590,39989.0,92954.0,52965.0
40,599,39989.0,92954.0,52965.0
41,593,39989.0,92954.0,52965.0
42,590,39989.0,92954.0,52965.0
43,591,39989.0,92954.0,52965.0
44,591,39989.0,92954.0,52965.0
45,589,39989.0,92954.0,52965.0
46,594,39989.0,92954.0,52965.0
47,595,39989.0,92954.0,52965.0
48,593,39989.0,92954.0,52965.0
49,588,39989.0,92954.0,52965.0
50,588,39989.0,92954.0,52965.0
51,585,39989.0,92954.0,52965.0
52,585,39989.0,92954.0,52965.0
53,584,39989.0,92954.0,52965.0
54,584,39989.0,92954.0,52965.0
55,590,39989.0,92954.0,52965.0
56,592,39989.0,92954.0,52965.0
57,592,39989.0,92954.0,52965.0
58,592,39989.0,92954.0,52965.0
59,594,39989.0,92954.0,52965.0
60,595,39989.0,92954.0,52965.0
61,596,39989.0,92954.0,52965.0
62,600,39989.0,92954.0,52965.0
63,602,39989.0,92954.0,52965.0
64,603,39989.0,92954.0,52965.0
65,602,39989.0,92954.0,52965.0
66,601,39989.0,92954.0,52965.0
67,601,39989.0,92954.0,52965.0
68,600,39989.0,92954.0,52965.0
69,599,39989.0,92954.0,52965.0
70,600,39989.0,92370.0,52381.0
71,599,39989.0,92370.0,52381.0
72,599,39989.0,92370.0,52381.0
73,602,39989.0,92370.0,52381.0
74,602,39989.0,92370.0,52381.0
75,597,39989.0,92370.0,52381.0
76,596,39989.0,92370.0,52381.0
77,594,39989.0,92370.0,52381.0
78,590,39989.0,92370.0,52381.0
79,586,39989.0,92370.0,52381.0
80,584,39989.0,92370.0,52381.0
