step,cut_edges,min_pop,max_pop,pop_range
1,578,43393.0,91451.0,48058.0
2,577,43393.0,91451.0,48058.0
3,577,43393.0,91451.0,48058.0
4,575,43393.0,91451.0,48058.0
5,580,43393.0,91451.0,48058.0
6,585,45409.0,91451.0,46042.0
7,584,41757.0,91451.0,49694.0
8,581,41757.0,91451.0,49694.0
9,580,41757.0,91451.0,49694.0
10,582,41757.0,91451.0,49694.0
11,580,41757.0,91451.0,49694.0
12,578,41757.0,91451.0,49694.0
13,573,43881.0,91451.0,47570.0
14,573,43881.0,91451.0,47570.0
15,571,43881.0,91451.0,47570.0
16,570,43881.0,91451.0,47570.0
17,571,43881.0,91451.0,47570.0
18,575,40265.0,91451.0,51186.0
19,576,40265.0,91451.0,51186.0
20,577,40265.0,91451.0,51186.0
21,575,40265.0,91451.0,51186.0
22,575,40265.0,91451.0,51186.0
23,576,40265.0,91451.0,51186.0
24,579,40265.0,91451.0,51186.0
25,579,40265.0,91451.0,51186.0
26,579,40265.0,91451.0,51186.0
27,583,40265.0,91451.0,51186.0
28,585,40265.0,91451.0,51186.0
29,583,40265.0,90976.0,50711.0
30,580,40265.0,90976.0,50711.0
31,579,41460.0,90976.0,49516.0
32,579,41460.0,90976.0,49516.0
33,578,41460.0,90976.0,49516.0
34,580,42828.0,90976.0,48148.0
35,581,42828.0,91046.0,48218.0
36,577,42828.0,91046.0,48218.0
37,576,42828.0,91046.0,48218.0
38,574,42828.0,91046.0,48218.0
39,575,42828.0,91046.0,48218.0
40,579,42636.0,91046.0,48410.0
41,582,42636.0,91046.0,48410.0
42,585,42636.0,91046.0,48410.0
43,584,42636.0,91046.0,48410.0
44,581,42636.0,91046.0,48410.0
45,583,42636.0,91046.0,48410.0
46,586,42828.0,91046.0,48218.0
47,589,42828.0,91046.0,48218.0
48,588,42828.0,91046.0,48218.0
49,588,42828.0,91046.0,48218.0
50,590,41899.0,91046.0,49147.0
51,590,41899.0,91046.0,49147.0
52,585,41899.0,91046.0,49147.0
53,588,41899.0,91046.0,49147.0
54,587,41899.0,91046.0,49147.0
55,589,41899.0,91046.0,49147.0
56,588,41899.0,91046.0,49147.0
57,589,41899.0,91046.0,49147.0
58,586,41899.0,91046.0,49147.0
59,586,41899.0,91046.0,49147.0
60,589,41899.0,91046.0,49147.0
61,593,41899.0,91046.0,49147.0
62,596,41899.0,91046.0,49147.0
63,597,41899.0,91046.0,49147.0
64,591,41899.0,91046.0,49147.0
65,589,41899.0,91046.0,49147.0
66,589,41899.0,91046.0,49147.0
67,588,40843.0,91046.0,50203.0
68,587,40843.0,91046.0,50203.0
69,589,40843.0,91046.0,50203.0
70,589,40843.0,91046.0,50203.0
71,591,40843.0,91046.0,50203.0
72,597,40843.0,91046.0,50203.0
73,598,40843.0,91046.0,50203.0
74,600,40843.0,89251.0,48408.0
75,602,40843.0,88589.0,47746.0
76,601,40843.0,88589.0,47746.0
77,597,40843.0,88589.0,47746.0
78,594,40843.0,88589.0,47746.0
79,596,40843.0,88589.0,47746.0
80,599,40843.0,88589.0,47746.0
81,601,40843.0,88600.0,47757.0
82,601,40843.0,89765.0,48922.0
