step,cut_edges,min_pop,max_pop,pop_range
1,648,41427.0,92655.0,51228.0
2,648,41427.0,92655.0,51228.0
3,649,41427.0,92655.0,51228.0
4,651,41427.0,92655.0,51228.0
5,649,41427.0,92655.0,51228.0
6,647,41427.0,92655.0,51228.0
7,646,41427.0,92655.0,51228.0
8,649,41427.0,92655.0,51228.0
9,647,41427.0,92655.0,51228.0
10,648,41427.0,92655.0,51228.0
11,643,41427.0,92655.0,51228.0
12,643,41427.0,92655.0,51228.0
13,641,41427.0,92655.0,51228.0
14,646,41427.0,92655.0,51228.0
15,646,41427.0,92655.0,51228.0
16,646,41427.0,92655.0,51228.0
17,642,41427.0,92655.0,51228.0
18,639,40773.0,92655.0,51882.0
19,638,40773.0,92655.0,51882.0
20,639,40773.0,92655.0,51882.0
21,639,40773.0,92655.0,51882.0
22,640,40773.0,92655.0,51882.0
23,637,40773.0,92655.0,51882.0
24,637,40773.0,92655.0,51882.0
25,637,40773.0,92655.0,51882.0
26,639,40773.0,92655.0,51882.0
27,639,40773.0,92655.0,51882.0
28,637,40815.0,92655.0,51840.0
29,634,40815.0,92655.0,51840.0
30,632,40815.0,92655.0,51840.0
31,633,40815.0,92655.0,51840.0
32,631,40815.0,92655.0,51840.0
33,624,40815.0,92655.0,51840.0
34,627,40815.0,92655.0,51840.0
35,624,40815.0,92655.0,51840.0
36,625,40815.0,92655.0,51840.0
37,624,40815.0,92655.0,51840.0
38,622,40815.0,92655.0,51840.0
39,621,40815.0,92655.0,51840.0
40,612,41884.0,92655.0,50771.0
41,609,41884.0,92655.0,50771.0
42,609,41884.0,92655.0,50771.0
43,609,41884.0,92655.0,50771.0
44,605,41884.0,92655.0,50771.0
45,601,40945.0,92655.0,51710.0
46,597,40945.0,92655.0,51710.0
47,600,40945.0,92655.0,51710.0
48,600,40945.0,92655.0,51710.0
49,600,40945.0,92655.0,51710.0
50,606,40945.0,92655.0,51710.0
51,600,40945.0,92655.0,51710.0
52,594,40945.0,92494.0,51549.0
53,598,40945.0,92494.0,51549.0
54,598,40945.0,92494.0,51549.0
55,601,40945.0,92494.0,51549.0
56,600,40945.0,92494.0,51549.0
57,599,40945.0,92494.0,51549.0
58,598,40945.0,92494.0,51549.0
59,590,40945.0,92494.0,51549.0
60,584,40945.0,92494.0,51549.0
61,582,40945.0,92494.0,51549.0
62,585,40945.0,92494.0,51549.0
63,582,40945.0,92494.0,51549.0
64,585,40945.0,92494.0,51549.0
65,580,40945.0,92494.0,51549.0
66,578,40945.0,92494.0,51549.0
67,577,43151.0,92494.0,49343.0
68,577,43151.0,92494.0,49343.0
69,581,43151.0,92494.0,49343.0
70,587,41707.0,92494.0,50787.0
71,593,41707.0,92033.0,50326.0
72,595,41707.0,92901.0,51194.0
73,594,41707.0,92901.0,51194.0
74,594,41707.0,92901.0,51194.0
75,590,41707.0,92901.0,51194.0
76,586,40105.0,92901.0,52796.0
77,587,40105.0,92901.0,52796.0
78,595,40105.0,92580.0,52475.0
79,601,40105.0,92580.0,52475.0
80,615,40105.0,92580.0,52475.0
81,612,40105.0,92580.0,52475.0
82,613,40030.0,92580.0,52550.0
83,613,40030.0,92580.0,52550.0
84,600,40030.0,92580.0,52550.0
85,602,40030.0,92580.0,52550.0
86,598,40030.0,92580.0,52550.0
87,602,40030.0,92580.0,52550.0
88,602,40030.0,92580.0,52550.0
89,606,40030.0,92580.0,52550.0
90,600,40030.0,92580.0,52550.0
91,604,40030.0,92530.0,52500.0
92,605,40030.0,92530.0,52500.0
93,607,40030.0,92530.0,52500.0
94,609,40030.0,92530.0,52500.0
95,613,40030.0,92530.0,52500.0
96,613,40030.0,92530.0,52500.0
97,613,40030.0,92337.0,52307.0
98,612,40030.0,92337.0,52307.0
99,611,40030.0,92337.0,52307.0
100,608,40030.0,92337.0,52307.0
101,605,40030.0,92337.0,52307.0
102,602,40299.0,92337.0,52038.0
103,604,40299.0,92337.0,52038.0
104,603,40299.0,92337.0,52038.0
105,594,40299.0,92337.0,52038.0
106,589,40299.0,92337.0,52038.0
107,591,40299.0,92337.0,52038.0
108,592,40299.0,92337.0,52038.0
109,590,40299.0,92337.0,52038.0
110,589,40299.0,92337.0,52038.0
111,596,40299.0,92337.0,52038.0
112,594,40299.0,92337.0,52038.0
113,588,40299.0,92337.0,52038.0
114,581,40299.0,92337.0,52038.0
115,581,40299.0,91999.0,51700.0
116,581,40299.0,91999.0,51700.0
117,589,40299.0,91999.0,51700.0
118,591,40299.0,91999.0,51700.0
119,593,40299.0,91999.0,51700.0
120,590,40299.0,91999.0,51700.0
121,592,40299.0,91999.0,51700.0
122,590,40299.0,91999.0,51700.0
